char	unicode	big5	category	dfs_code	compat_class	slot_source	t2s	note
請	U+8ACB	BDD0	cjk	$0EAB	base-t2s-ime-glyph-patch	base-compatible	请	glyph patch 请->請
諸	U+8AF8	BDD1	cjk	$18E4	base-t2s-ime-glyph-patch	base-compatible	诸	glyph patch 诸->諸
課	U+8AB2	BDD2	cjk	$0B2E	base-t2s-ime-glyph-patch	base-compatible	课	glyph patch 课->課
諉	U+8AC9	BDD3	cjk	$1A6D	base-t2s-ime-glyph-patch	base-compatible	诿	glyph patch 诿->諉
諂	U+8AC2	BDD4	cjk	$1A70	base-t2s-ime-glyph-patch	base-compatible	谄	glyph patch 谄->諂
調	U+8ABF	BDD5	cjk	$0733	base-t2s-ime-glyph-patch	base-compatible	调	glyph patch 调->調
誰	U+8AB0	BDD6	cjk	$1007	base-t2s-ime-glyph-patch	base-compatible	谁	glyph patch 谁->誰
論	U+8AD6	BDD7	cjk	$0C89	base-t2s-ime-glyph-patch	base-compatible	论	glyph patch 论->論
諍	U+8ACD	BDD8	cjk	$1A64	base-t2s-ime-glyph-patch	base-compatible	诤	glyph patch 诤->諍
誶	U+8AB6	BDD9	cjk	$1A71	base-t2s-ime-glyph-patch	base-compatible	谇	glyph patch 谇->誶
誹	U+8AB9	BDDA	cjk	$07DA	base-t2s-ime-glyph-patch	base-compatible	诽	glyph patch 诽->誹
諛	U+8ADB	BDDB	cjk	$1A6E	base-t2s-ime-glyph-patch	base-compatible	谀	glyph patch 谀->諛
豌	U+8C4C	BDDC	cjk	$111A	base-exact	base-compatible	豌	
豎	U+8C4E	BDDD	cjk	$0FF2	base-t2s-ime-glyph-patch	base-compatible	竖	glyph patch 竖->豎
豬	U+8C6C	BDDE	cjk	$18E3	base-t2s-ime-glyph-patch	base-compatible	猪	glyph patch 猪->豬
賠	U+8CE0	BDDF	cjk	$0DC8	base-t2s-ime-glyph-patch	base-compatible	赔	glyph patch 赔->賠
賞	U+8CDE	BDE0	cjk	$0F67	base-t2s-ime-glyph-patch	base-compatible	赏	glyph patch 赏->賞
賦	U+8CE6	BDE1	cjk	$0827	base-t2s-ime-glyph-patch	base-compatible	赋	glyph patch 赋->賦
賤	U+8CE4	BDE2	cjk	$0A21	base-t2s-ime-glyph-patch	base-compatible	贱	glyph patch 贱->賤
賬	U+8CEC	BDE3	cjk	$1863	base-t2s-ime-glyph-patch	base-compatible	账	glyph patch 账->賬
賭	U+8CED	BDE4	cjk	$0774	base-t2s-ime-glyph-patch	base-compatible	赌	glyph patch 赌->賭
賢	U+8CE2	BDE5	cjk	$11D7	base-t2s-ime-glyph-patch	base-compatible	贤	glyph patch 贤->賢
賣	U+8CE3	BDE6	cjk	$0CA2	base-t2s-ime-glyph-patch	base-compatible	卖	glyph patch 卖->賣
賜	U+8CDC	BDE7	cjk	$06A3	base-t2s-ime-glyph-patch	base-compatible	赐	glyph patch 赐->賜
質	U+8CEA	BDE8	cjk	$18C0	base-t2s-ime-glyph-patch	base-compatible	质	glyph patch 质->質
賡	U+8CE1	BDE9	cjk	$1DCD	base-t2s-ime-glyph-patch	base-compatible	赓	glyph patch 赓->賡
赭	U+8D6D	BDEA	cjk	$2D77	base-exact	base-compatible	赭	
趟	U+8D9F	BDEB	cjk	$109D	base-exact	base-compatible	趟	
趣	U+8DA3	BDEC	cjk	$0EC2	base-exact	base-compatible	趣	
踫	U+8E2B	BDED	cjk	$1538	cjk-extension	extension-page	踫	new/expanded DFS page
踐	U+8E10	BDEE	cjk	$0A20	base-t2s-ime-glyph-patch	base-compatible	践	glyph patch 践->踐
踝	U+8E1D	BDEF	cjk	$2DB5	base-exact	base-compatible	踝	
踢	U+8E22	BDF0	cjk	$10B1	base-exact	base-compatible	踢	
踏	U+8E0F	BDF1	cjk	$1076	base-exact	base-compatible	踏	
踩	U+8E29	BDF2	cjk	$05C4	base-exact	base-compatible	踩	
踟	U+8E1F	BDF3	cjk	$2DB6	base-exact	base-compatible	踟	
踡	U+8E21	BDF4	cjk	$1539	cjk-extension	extension-page	踡	new/expanded DFS page
踞	U+8E1E	BDF5	cjk	$0ADB	base-exact	base-compatible	踞	
躺	U+8EBA	BDF6	cjk	$109B	base-exact	base-compatible	躺	
輝	U+8F1D	BDF7	cjk	$0996	base-t2s-ime-glyph-patch	base-compatible	辉	glyph patch 辉->輝
輛	U+8F1B	BDF8	cjk	$0BF0	base-t2s-ime-glyph-patch	base-compatible	辆	glyph patch 辆->輛
輟	U+8F1F	BDF9	cjk	$28DF	base-t2s-ime-glyph-patch	base-compatible	辍	glyph patch 辍->輟
輩	U+8F29	BDFA	cjk	$053A	base-t2s-ime-glyph-patch	base-compatible	辈	glyph patch 辈->輩
輦	U+8F26	BDFB	cjk	$28DD	base-t2s-ime-glyph-patch	base-compatible	辇	glyph patch 辇->輦
輪	U+8F2A	BDFC	cjk	$0C84	base-t2s-ime-glyph-patch	base-compatible	轮	glyph patch 轮->輪
輜	U+8F1C	BDFD	cjk	$28E0	base-t2s-ime-glyph-patch	base-compatible	辎	glyph patch 辎->輜
輞	U+8F1E	BDFE	cjk	$28DE	base-t2s-ime-glyph-patch	base-compatible	辋	glyph patch 辋->輞
輥	U+8F25	BE40	cjk	$08DD	base-t2s-ime-glyph-patch	base-compatible	辊	glyph patch 辊->輥
適	U+9069	BE41	cjk	$153A	cjk-extension	extension-page	适	new/expanded DFS page
遮	U+906E	BE42	cjk	$1872	base-exact	base-compatible	遮	
遨	U+9068	BE43	cjk	$1F0B	base-exact	base-compatible	遨	
遭	U+906D	BE44	cjk	$1802	base-exact	base-compatible	遭	
遷	U+9077	BE45	cjk	$0E68	base-t2s-ime-glyph-patch	base-compatible	迁	glyph patch 迁->遷
鄰	U+9130	BE46	cjk	$0C10	base-t2s-ime-glyph-patch	base-compatible	邻	glyph patch 邻->鄰
鄭	U+912D	BE47	cjk	$1899	base-t2s-ime-glyph-patch	base-compatible	郑	glyph patch 郑->鄭
鄧	U+9127	BE48	cjk	$0703	base-t2s-ime-glyph-patch	base-compatible	邓	glyph patch 邓->鄧
鄱	U+9131	BE49	cjk	$1ABE	base-exact	base-compatible	鄱	
醇	U+9187	BE4A	cjk	$0692	base-exact	base-compatible	醇	
醉	U+9189	BE4B	cjk	$194A	base-exact	base-compatible	醉	
醋	U+918B	BE4C	cjk	$06AD	base-exact	base-compatible	醋	
醃	U+9183	BE4D	cjk	$153B	cjk-extension	extension-page	腌	new/expanded DFS page
鋅	U+92C5	BE4E	cjk	$122F	base-t2s-ime-glyph-patch	base-compatible	锌	glyph patch 锌->鋅
銻	U+92BB	BE4F	cjk	$10B2	base-t2s-ime-glyph-patch	base-compatible	锑	glyph patch 锑->銻
銷	U+92B7	BE50	cjk	$1208	base-t2s-ime-glyph-patch	base-compatible	销	glyph patch 销->銷
鋪	U+92EA	BE51	cjk	$0E17	base-t2s-ime-glyph-patch	base-compatible	铺	glyph patch 铺->鋪
銬	U+92AC	BE52	cjk	$2ADF	base-t2s-ime-glyph-patch	base-compatible	铐	glyph patch 铐->銬
鋤	U+92E4	BE53	cjk	$0672	base-t2s-ime-glyph-patch	base-compatible	锄	glyph patch 锄->鋤
鋁	U+92C1	BE54	cjk	$0C6F	base-t2s-ime-glyph-patch	base-compatible	铝	glyph patch 铝->鋁
銳	U+92B3	BE55	cjk	$0F13	base-t2s-ime-glyph-patch	base-compatible	锐	glyph patch 锐->銳
銼	U+92BC	BE56	cjk	$2B05	base-t2s-ime-glyph-patch	base-compatible	锉	glyph patch 锉->銼
鋒	U+92D2	BE57	cjk	$07F4	base-t2s-ime-glyph-patch	base-compatible	锋	glyph patch 锋->鋒
鋇	U+92C7	BE58	cjk	$053D	base-t2s-ime-glyph-patch	base-compatible	钡	glyph patch 钡->鋇
鋰	U+92F0	BE59	cjk	$2B02	base-t2s-ime-glyph-patch	base-compatible	锂	glyph patch 锂->鋰
銲	U+92B2	BE5A	cjk	$153C	cjk-extension	extension-page	銲	new/expanded DFS page
閭	U+95AD	BE5B	cjk	$1E26	base-t2s-ime-glyph-patch	base-compatible	闾	glyph patch 闾->閭
閱	U+95B1	BE5C	cjk	$13E0	base-t2s-ime-glyph-patch	base-compatible	阅	glyph patch 阅->閱
霄	U+9704	BE5D	cjk	$1204	base-exact	base-compatible	霄	
霆	U+9706	BE5E	cjk	$2DE6	base-exact	base-compatible	霆	
震	U+9707	BE5F	cjk	$1888	base-exact	base-compatible	震	
霉	U+9709	BE60	cjk	$0CC5	base-exact	base-compatible	霉	
靠	U+9760	BE61	cjk	$0B1E	base-exact	base-compatible	靠	
鞍	U+978D	BE62	cjk	$04D2	base-exact	base-compatible	鞍	
鞋	U+978B	BE63	cjk	$121B	base-exact	base-compatible	鞋	
鞏	U+978F	BE64	cjk	$0896	base-t2s-ime-glyph-patch	base-compatible	巩	glyph patch 巩->鞏
頡	U+9821	BE65	cjk	$2C31	base-t2s-ime-glyph-patch	base-compatible	颉	glyph patch 颉->頡
頫	U+982B	BE66	cjk	$153D	cjk-extension	extension-page	𫖯	new/expanded DFS page
頜	U+981C	BE67	cjk	$2C32	base-t2s-ime-glyph-patch	base-compatible	颌	glyph patch 颌->頜
颳	U+98B3	BE68	cjk	$153E	cjk-extension	extension-page	刮	new/expanded DFS page
養	U+990A	BE69	cjk	$12DC	base-t2s-ime-glyph-patch	base-compatible	养	glyph patch 养->養
餓	U+9913	BE6A	cjk	$07A6	base-t2s-ime-glyph-patch	base-compatible	饿	glyph patch 饿->餓
餒	U+9912	BE6B	cjk	$0D61	base-t2s-ime-glyph-patch	base-compatible	馁	glyph patch 馁->餒
餘	U+9918	BE6C	cjk	$1540	cjk-extension	extension-page	余	new/expanded DFS page
駝	U+99DD	BE6D	cjk	$1109	base-t2s-ime-glyph-patch	base-compatible	驼	glyph patch 驼->駝
駐	U+99D0	BE6E	cjk	$18F8	base-t2s-ime-glyph-patch	base-compatible	驻	glyph patch 驻->駐
駟	U+99DF	BE6F	cjk	$1F89	base-t2s-ime-glyph-patch	base-compatible	驷	glyph patch 驷->駟
駛	U+99DB	BE70	cjk	$0FB3	base-t2s-ime-glyph-patch	base-compatible	驶	glyph patch 驶->駛
駑	U+99D1	BE71	cjk	$1F8D	base-t2s-ime-glyph-patch	base-compatible	驽	glyph patch 驽->駑
駕	U+99D5	BE72	cjk	$0A01	base-t2s-ime-glyph-patch	base-compatible	驾	glyph patch 驾->駕
駒	U+99D2	BE73	cjk	$0ACE	base-t2s-ime-glyph-patch	base-compatible	驹	glyph patch 驹->駒
駙	U+99D9	BE74	cjk	$1F8A	base-t2s-ime-glyph-patch	base-compatible	驸	glyph patch 驸->駙
骷	U+9AB7	BE75	cjk	$2E74	base-exact	base-compatible	骷	
髮	U+9AEE	BE76	cjk	$1541	cjk-extension	extension-page	发	new/expanded DFS page
髯	U+9AEF	BE77	cjk	$2E8F	base-exact	base-compatible	髯	
鬧	U+9B27	BE78	cjk	$0D49	base-t2s-ime-glyph-patch	base-compatible	闹	glyph patch 闹->鬧
魅	U+9B45	BE79	cjk	$2E80	base-exact	base-compatible	魅	
魄	U+9B44	BE7A	cjk	$0E0F	base-exact	base-compatible	魄	
魷	U+9B77	BE7B	cjk	$2E0F	base-t2s-ime-glyph-patch	base-compatible	鱿	glyph patch 鱿->魷
魯	U+9B6F	BE7C	cjk	$0C61	base-t2s-ime-glyph-patch	base-compatible	鲁	glyph patch 鲁->魯
鴆	U+9D06	BE7D	cjk	$2B7E	base-t2s-ime-glyph-patch	base-compatible	鸩	glyph patch 鸩->鴆
鴉	U+9D09	BE7E	cjk	$129F	base-t2s-ime-glyph-patch	base-compatible	鸦	glyph patch 鸦->鴉
鴃	U+9D03	BEA1	cjk	$1542	cjk-extension	extension-page	𫛞	new/expanded DFS page
麩	U+9EA9	BEA2	cjk	$2D6F	base-t2s-ime-glyph-patch	base-compatible	麸	glyph patch 麸->麩
麾	U+9EBE	BEA3	cjk	$2E9A	base-exact	base-compatible	麾	
黎	U+9ECE	BEA4	cjk	$0BBC	base-exact	base-compatible	黎	
墨	U+58A8	BEA5	cjk	$0D1C	base-exact	base-compatible	墨	
齒	U+9F52	BEA6	cjk	$0640	base-t2s-ime-glyph-patch	base-compatible	齿	glyph patch 齿->齒
儒	U+5112	BEA7	cjk	$0F07	base-exact	base-compatible	儒	
儘	U+5118	BEA8	cjk	$1543	cjk-extension	extension-page	尽	new/expanded DFS page
儔	U+5114	BEA9	cjk	$19DF	base-t2s-ime-glyph-patch	base-compatible	俦	glyph patch 俦->儔
儐	U+5110	BEAA	cjk	$1A01	base-t2s-ime-glyph-patch	base-compatible	傧	glyph patch 傧->儐
儕	U+5115	BEAB	cjk	$19DB	base-t2s-ime-glyph-patch	base-compatible	侪	glyph patch 侪->儕
冀	U+5180	BEAC	cjk	$09DD	base-exact	base-compatible	冀	
冪	U+51AA	BEAD	cjk	$0CE9	base-t2s-ime-glyph-patch	base-compatible	幂	glyph patch 幂->冪
凝	U+51DD	BEAE	cjk	$0D85	base-exact	base-compatible	凝	
劑	U+5291	BEAF	cjk	$09E1	base-t2s-ime-glyph-patch	base-compatible	剂	glyph patch 剂->劑
劓	U+5293	BEB0	cjk	$19B6	base-exact	base-compatible	劓	
勳	U+52F3	BEB1	cjk	$1544	cjk-extension	extension-page	勋	new/expanded DFS page
噙	U+5659	BEB2	cjk	$1CF9	base-exact	base-compatible	噙	
噫	U+566B	BEB3	cjk	$1D04	base-exact	base-compatible	噫	
噹	U+5679	BEB4	cjk	$1545	cjk-extension	extension-page	当	new/expanded DFS page
噩	U+5669	BEB5	cjk	$197C	base-exact	base-compatible	噩	
噤	U+5664	BEB6	cjk	$1D02	base-exact	base-compatible	噤	
噸	U+5678	BEB7	cjk	$1546	cjk-extension	extension-page	吨	new/expanded DFS page
噪	U+566A	BEB8	cjk	$180B	base-exact	base-compatible	噪	
器	U+5668	BEB9	cjk	$0E44	base-exact	base-compatible	器	
噥	U+5665	BEBA	cjk	$1CA2	base-t2s-ime-glyph-patch	base-compatible	哝	glyph patch 哝->噥
噱	U+5671	BEBB	cjk	$1D03	base-exact	base-compatible	噱	
噯	U+566F	BEBC	cjk	$1CE2	base-t2s-ime-glyph-patch	base-compatible	嗳	glyph patch 嗳->噯
噬	U+566C	BEBD	cjk	$0FC1	base-exact	base-compatible	噬	
噢	U+5662	BEBE	cjk	$1CF8	base-exact	base-compatible	噢	
噶	U+5676	BEBF	cjk	$0835	base-exact	base-compatible	噶	
壁	U+58C1	BEC0	cjk	$0578	base-exact	base-compatible	壁	
墾	U+58BE	BEC1	cjk	$0B31	base-t2s-ime-glyph-patch	base-compatible	垦	glyph patch 垦->墾
壇	U+58C7	BEC2	cjk	$1085	base-t2s-ime-glyph-patch	base-compatible	坛	glyph patch 坛->壇; strict policy: canonical glyph patch for shared code $1085
壅	U+58C5	BEC3	cjk	$1ADD	base-exact	base-compatible	壅	
奮	U+596E	BEC4	cjk	$07EA	base-t2s-ime-glyph-patch	base-compatible	奋	glyph patch 奋->奮
嬝	U+5B1D	BEC5	cjk	$1547	cjk-extension	extension-page	嬝	new/expanded DFS page
嬴	U+5B34	BEC6	cjk	$1A2E	base-exact	base-compatible	嬴	
學	U+5B78	BEC7	cjk	$128B	base-t2s-ime-glyph-patch	base-compatible	学	glyph patch 学->學
寰	U+5BF0	BEC8	cjk	$1EEA	base-exact	base-compatible	寰	
導	U+5C0E	BEC9	cjk	$06F0	base-t2s-ime-glyph-patch	base-compatible	导	glyph patch 导->導
彊	U+5F4A	BECA	cjk	$1548	cjk-extension	extension-page	彊	new/expanded DFS page
憲	U+61B2	BECB	cjk	$11E6	base-t2s-ime-glyph-patch	base-compatible	宪	glyph patch 宪->憲
憑	U+6191	BECC	cjk	$0E06	base-t2s-ime-glyph-patch	base-compatible	凭	glyph patch 凭->憑
憩	U+61A9	BECD	cjk	$2A2A	base-exact	base-compatible	憩	
憊	U+618A	BECE	cjk	$0542	base-t2s-ime-glyph-patch	base-compatible	惫	glyph patch 惫->憊
懍	U+61CD	BECF	cjk	$1E1A	base-t2s-ime-glyph-patch	base-compatible	懔	glyph patch 懔->懍
憶	U+61B6	BED0	cjk	$132E	base-t2s-ime-glyph-patch	base-compatible	忆	glyph patch 忆->憶
憾	U+61BE	BED1	cjk	$08FC	base-exact	base-compatible	憾	
懊	U+61CA	BED2	cjk	$04E5	base-exact	base-compatible	懊	
懈	U+61C8	BED3	cjk	$1228	base-exact	base-compatible	懈	
戰	U+6230	BED4	cjk	$1840	base-t2s-ime-glyph-patch	base-compatible	战	glyph patch 战->戰
擅	U+64C5	BED5	cjk	$0F48	base-exact	base-compatible	擅	
擁	U+64C1	BED6	cjk	$1373	base-t2s-ime-glyph-patch	base-compatible	拥	glyph patch 拥->擁
擋	U+64CB	BED7	cjk	$06E6	base-t2s-ime-glyph-patch	base-compatible	挡	glyph patch 挡->擋
撻	U+64BB	BED8	cjk	$1074	base-t2s-ime-glyph-patch	base-compatible	挞	glyph patch 挞->撻
撼	U+64BC	BED9	cjk	$08F9	base-exact	base-compatible	撼	
據	U+64DA	BEDA	cjk	$1549	cjk-extension	extension-page	据	new/expanded DFS page
擄	U+64C4	BEDB	cjk	$0C49	base-t2s-ime-glyph-patch	base-compatible	掳	glyph patch 掳->擄
擇	U+64C7	BEDC	cjk	$1811	base-t2s-ime-glyph-patch	base-compatible	择	glyph patch 择->擇
擂	U+64C2	BEDD	cjk	$0BB2	base-exact	base-compatible	擂	
操	U+64CD	BEDE	cjk	$05D5	base-exact	base-compatible	操	
撿	U+64BF	BEDF	cjk	$0A18	base-t2s-ime-glyph-patch	base-compatible	捡	glyph patch 捡->撿
擒	U+64D2	BEE0	cjk	$0E9C	base-exact	base-compatible	擒	
擔	U+64D4	BEE1	cjk	$06D7	base-t2s-ime-glyph-patch	base-compatible	担	glyph patch 担->擔
撾	U+64BE	BEE2	cjk	$117A	base-t2s-ime-glyph-patch	base-compatible	挝	glyph patch 挝->撾
整	U+6574	BEE3	cjk	$1893	base-exact	base-compatible	整	
曆	U+66C6	BEE4	cjk	$0BCE	base-t2s-ime-glyph-patch	base-compatible	历	glyph patch 历->曆; strict policy: canonical glyph patch for shared code $0BCE
曉	U+66C9	BEE5	cjk	$120C	base-t2s-ime-glyph-patch	base-compatible	晓	glyph patch 晓->曉
暹	U+66B9	BEE6	cjk	$1F0F	base-exact	base-compatible	暹	
曄	U+66C4	BEE7	cjk	$290C	base-t2s-ime-glyph-patch	base-compatible	晔	glyph patch 晔->曄
曇	U+66C7	BEE8	cjk	$28FA	base-t2s-ime-glyph-patch	base-compatible	昙	glyph patch 昙->曇
暸	U+66B8	BEE9	cjk	$154A	cjk-extension	extension-page	暸	new/expanded DFS page
樽	U+6A3D	BEEA	cjk	$28B7	base-exact	base-compatible	樽	
樸	U+6A38	BEEB	cjk	$1560	cjk-extension	extension-page	朴	new/expanded DFS page
樺	U+6A3A	BEEC	cjk	$286D	base-t2s-ime-glyph-patch	base-compatible	桦	glyph patch 桦->樺
橙	U+6A59	BEED	cjk	$062A	base-exact	base-compatible	橙	
橫	U+6A6B	BEEE	cjk	$092F	base-t2s-ime-glyph-patch	base-compatible	横	glyph patch 横->橫
橘	U+6A58	BEEF	cjk	$28B9	base-exact	base-compatible	橘	
樹	U+6A39	BEF0	cjk	$0FEF	base-t2s-ime-glyph-patch	base-compatible	树	glyph patch 树->樹
橄	U+6A44	BEF1	cjk	$28AF	base-exact	base-compatible	橄	
橢	U+6A62	BEF2	cjk	$110A	base-t2s-ime-glyph-patch	base-compatible	椭	glyph patch 椭->橢
橡	U+6A61	BEF3	cjk	$11FA	base-exact	base-compatible	橡	
橋	U+6A4B	BEF4	cjk	$0E85	base-t2s-ime-glyph-patch	base-compatible	桥	glyph patch 桥->橋
橇	U+6A47	BEF5	cjk	$0E81	base-exact	base-compatible	橇	
樵	U+6A35	BEF6	cjk	$28B4	base-exact	base-compatible	樵	
機	U+6A5F	BEF7	cjk	$1561	cjk-extension	extension-page	机	new/expanded DFS page
橈	U+6A48	BEF8	cjk	$2865	base-t2s-ime-glyph-patch	base-compatible	桡	glyph patch 桡->橈
歙	U+6B59	BEF9	cjk	$29C0	base-exact	base-compatible	歙	
歷	U+6B77	BEFA	cjk	$1562	cjk-extension	extension-page	历	new/expanded DFS page
氅	U+6C05	BEFB	cjk	$2963	base-exact	base-compatible	氅	
濂	U+6FC2	BEFC	cjk	$1ED1	base-exact	base-compatible	濂	
澱	U+6FB1	BEFD	cjk	$1563	cjk-extension	extension-page	淀	new/expanded DFS page
澡	U+6FA1	BEFE	cjk	$1808	base-exact	base-compatible	澡	
濃	U+6FC3	BF40	cjk	$0D8E	base-t2s-ime-glyph-patch	base-compatible	浓	glyph patch 浓->濃
澤	U+6FA4	BF41	cjk	$1813	base-t2s-ime-glyph-patch	base-compatible	泽	glyph patch 泽->澤
濁	U+6FC1	BF42	cjk	$1923	base-t2s-ime-glyph-patch	base-compatible	浊	glyph patch 浊->濁
澧	U+6FA7	BF43	cjk	$1ECE	base-exact	base-compatible	澧	
澳	U+6FB3	BF44	cjk	$04E6	base-exact	base-compatible	澳	
激	U+6FC0	BF45	cjk	$09C4	base-exact	base-compatible	激	
澹	U+6FB9	BF46	cjk	$1ECF	base-exact	base-compatible	澹	
澶	U+6FB6	BF47	cjk	$1ED0	base-exact	base-compatible	澶	
澦	U+6FA6	BF48	cjk	$1564	cjk-extension	extension-page	滪	new/expanded DFS page
澠	U+6FA0	BF49	cjk	$1E93	base-t2s-ime-glyph-patch	base-compatible	渑	glyph patch 渑->澠
澴	U+6FB4	BF4A	cjk	$1565	cjk-extension	extension-page	澴	new/expanded DFS page
熾	U+71BE	BF4B	cjk	$0646	base-t2s-ime-glyph-patch	base-compatible	炽	glyph patch 炽->熾
燉	U+71C9	BF4C	cjk	$1566	cjk-extension	extension-page	炖	new/expanded DFS page
燐	U+71D0	BF4D	cjk	$1567	cjk-extension	extension-page	燐	new/expanded DFS page
燒	U+71D2	BF4E	cjk	$0F6F	base-t2s-ime-glyph-patch	base-compatible	烧	glyph patch 烧->燒
燈	U+71C8	BF4F	cjk	$06FA	base-t2s-ime-glyph-patch	base-compatible	灯	glyph patch 灯->燈
燕	U+71D5	BF50	cjk	$12C4	base-exact	base-compatible	燕	
熹	U+71B9	BF51	cjk	$29FC	base-exact	base-compatible	熹	
燎	U+71CE	BF52	cjk	$0BF9	base-exact	base-compatible	燎	
燙	U+71D9	BF53	cjk	$109E	base-t2s-ime-glyph-patch	base-compatible	烫	glyph patch 烫->燙
燜	U+71DC	BF54	cjk	$29E3	base-t2s-ime-glyph-patch	base-compatible	焖	glyph patch 焖->燜
燃	U+71C3	BF55	cjk	$0EDA	base-exact	base-compatible	燃	
燄	U+71C4	BF56	cjk	$1568	cjk-extension	extension-page	燄	new/expanded DFS page
獨	U+7368	BF57	cjk	$0770	base-t2s-ime-glyph-patch	base-compatible	独	glyph patch 独->獨
璜	U+749C	BF58	cjk	$2813	base-exact	base-compatible	璜	
璣	U+74A3	BF59	cjk	$1FE7	base-t2s-ime-glyph-patch	base-compatible	玑	glyph patch 玑->璣
璘	U+7498	BF5A	cjk	$1569	cjk-extension	extension-page	璘	new/expanded DFS page
璟	U+749F	BF5B	cjk	$156A	cjk-extension	extension-page	璟	new/expanded DFS page
璞	U+749E	BF5C	cjk	$281C	base-exact	base-compatible	璞	
瓢	U+74E2	BF5D	cjk	$0DF4	base-exact	base-compatible	瓢	
甌	U+750C	BF5E	cjk	$28EF	base-t2s-ime-glyph-patch	base-compatible	瓯	glyph patch 瓯->甌
甍	U+750D	BF5F	cjk	$1BDB	base-exact	base-compatible	甍	
瘴	U+7634	BF60	cjk	$1866	base-exact	base-compatible	瘴	
瘸	U+7638	BF61	cjk	$0ED1	base-exact	base-compatible	瘸	
瘺	U+763A	BF62	cjk	$2BC8	base-t2s-ime-glyph-patch	base-compatible	瘘	glyph patch 瘘->瘺
盧	U+76E7	BF63	cjk	$0C45	base-t2s-ime-glyph-patch	base-compatible	卢	glyph patch 卢->盧
盥	U+76E5	BF64	cjk	$2AB4	base-exact	base-compatible	盥	
瞠	U+77A0	BF65	cjk	$2A9C	base-exact	base-compatible	瞠	
瞞	U+779E	BF66	cjk	$0CA5	base-t2s-ime-glyph-patch	base-compatible	瞒	glyph patch 瞒->瞞
瞟	U+779F	BF67	cjk	$2A9B	base-exact	base-compatible	瞟	
瞥	U+77A5	BF68	cjk	$0DF7	base-exact	base-compatible	瞥	
磨	U+78E8	BF69	cjk	$0D13	base-exact	base-compatible	磨	
磚	U+78DA	BF6A	cjk	$1901	base-t2s-ime-glyph-patch	base-compatible	砖	glyph patch 砖->磚
磬	U+78EC	BF6B	cjk	$2A74	base-exact	base-compatible	磬	
磧	U+78E7	BF6C	cjk	$2A67	base-t2s-ime-glyph-patch	base-compatible	碛	glyph patch 碛->磧
禦	U+79A6	BF6D	cjk	$156B	cjk-extension	extension-page	御	new/expanded DFS page
積	U+7A4D	BF6E	cjk	$09BF	base-t2s-ime-glyph-patch	base-compatible	积	glyph patch 积->積
穎	U+7A4E	BF6F	cjk	$136F	base-t2s-ime-glyph-patch	base-compatible	颖	glyph patch 颖->穎
穆	U+7A46	BF70	cjk	$0D34	base-exact	base-compatible	穆	
穌	U+7A4C	BF71	cjk	$2E18	base-t2s-ime-glyph-patch	base-compatible	稣	glyph patch 稣->穌
穋	U+7A4B	BF72	cjk	$156C	cjk-extension	extension-page	穋	new/expanded DFS page
窺	U+7ABA	BF73	cjk	$0B70	base-t2s-ime-glyph-patch	base-compatible	窥	glyph patch 窥->窺
篙	U+7BD9	BF74	cjk	$0867	base-exact	base-compatible	篙	
簑	U+7C11	BF75	cjk	$156D	cjk-extension	extension-page	蓑	new/expanded DFS page
築	U+7BC9	BF76	cjk	$156E	cjk-extension	extension-page	筑	new/expanded DFS page
篤	U+7BE4	BF77	cjk	$2CCA	base-t2s-ime-glyph-patch	base-compatible	笃	glyph patch 笃->篤
篛	U+7BDB	BF78	cjk	$156F	cjk-extension	extension-page	篛	new/expanded DFS page
篡	U+7BE1	BF79	cjk	$06B1	base-exact	base-compatible	篡	
篩	U+7BE9	BF7A	cjk	$0F3C	base-t2s-ime-glyph-patch	base-compatible	筛	glyph patch 筛->篩
篦	U+7BE6	BF7B	cjk	$2CFB	base-exact	base-compatible	篦	
糕	U+7CD5	BF7C	cjk	$086C	base-exact	base-compatible	糕	
糖	U+7CD6	BF7D	cjk	$1099	base-exact	base-compatible	糖	
縊	U+7E0A	BF7E	cjk	$1FD1	base-t2s-ime-glyph-patch	base-compatible	缢	glyph patch 缢->縊
縑	U+7E11	BFA1	cjk	$1FD2	base-t2s-ime-glyph-patch	base-compatible	缣	glyph patch 缣->縑
縈	U+7E08	BFA2	cjk	$1BB5	base-t2s-ime-glyph-patch	base-compatible	萦	glyph patch 萦->縈
縛	U+7E1B	BFA3	cjk	$0833	base-t2s-ime-glyph-patch	base-compatible	缚	glyph patch 缚->縛
縣	U+7E23	BFA4	cjk	$11E2	base-t2s-ime-glyph-patch	base-compatible	县	glyph patch 县->縣
縞	U+7E1E	BFA5	cjk	$1FCF	base-t2s-ime-glyph-patch	base-compatible	缟	glyph patch 缟->縞
縝	U+7E1D	BFA6	cjk	$1FCD	base-t2s-ime-glyph-patch	base-compatible	缜	glyph patch 缜->縝
縉	U+7E09	BFA7	cjk	$1FCC	base-t2s-ime-glyph-patch	base-compatible	缙	glyph patch 缙->縉
縐	U+7E10	BFA8	cjk	$1FAD	base-t2s-ime-glyph-patch	base-compatible	绉	glyph patch 绉->縐
罹	U+7F79	BFA9	cjk	$2AB0	base-exact	base-compatible	罹	
羲	U+7FB2	BFAA	cjk	$2D35	base-exact	base-compatible	羲	
