char	unicode	big5	category	dfs_code	compat_class	t2s	base_char_at_code	ime_reserved	note
黽	U+9EFD	E0EF	cjk	$2DF8	base-t2s-ime-glyph-patch	黾	黾	yes	glyph patch 黾->黽
僦	U+50E6	E0F0	cjk	$1A08	base-exact	僦	僦	yes	
僨	U+50E8	E0F3	cjk	$19F5	base-t2s-ime-glyph-patch	偾	偾	yes	glyph patch 偾->僨
僳	U+50F3	E0F4	cjk	$1039	base-exact	僳	僳	yes	
僬	U+50EC	E0FA	cjk	$1A07	base-exact	僬	僬	yes	
劁	U+5281	E142	cjk	$19B4	base-exact	劁	劁	yes	
嘧	U+5627	E147	cjk	$1CF1	base-exact	嘧	嘧	yes	
嘌	U+560C	E149	cjk	$1CEB	base-exact	嘌	嘌	yes	
嘏	U+560F	E14C	cjk	$1995	base-exact	嘏	嘏	yes	
嘜	U+561C	E14D	cjk	$1CA5	base-t2s-ime-glyph-patch	唛	唛	yes	glyph patch 唛->嘜
嘁	U+5601	E14E	cjk	$1CEC	base-exact	嘁	嘁	yes	
墉	U+5889	E156	cjk	$1B1A	base-exact	墉	墉	yes	
墁	U+5881	E15B	cjk	$1B19	base-exact	墁	墁	yes	
嫜	U+5ADC	E16B	cjk	$1F79	base-exact	嫜	嫜	yes	
嫫	U+5AEB	E172	cjk	$1F6E	base-exact	嫫	嫫	yes	
嫠	U+5AE0	E175	cjk	$1F73	base-exact	嫠	嫠	yes	
屣	U+5C63	E1A2	cjk	$1F23	base-exact	屣	屣	yes	
嶂	U+5D82	E1A3	cjk	$1D6C	base-exact	嶂	嶂	yes	
嶁	U+5D81	E1A8	cjk	$1D66	base-t2s-ime-glyph-patch	嵝	嵝	yes	glyph patch 嵝->嶁
幘	U+5E58	E1B2	cjk	$1D1E	base-t2s-ime-glyph-patch	帻	帻	yes	glyph patch 帻->幘
廑	U+5ED1	E1B6	cjk	$1DCF	base-exact	廑	廑	yes	
廒	U+5ED2	E1BC	cjk	$1DCE	base-exact	廒	廒	yes	
愨	U+6128	E1C3	cjk	$2A26	base-t2s-ime-glyph-patch	悫	悫	yes	glyph patch 悫->愨
慳	U+6173	E1C7	cjk	$1DF7	base-t2s-ime-glyph-patch	悭	悭	yes	glyph patch 悭->慳
慪	U+616A	E1D3	cjk	$1DDA	base-t2s-ime-glyph-patch	怄	怄	yes	glyph patch 怄->慪
戩	U+6229	E1D6	cjk	$28ED	base-t2s-ime-glyph-patch	戬	戬	yes	glyph patch 戬->戩
戧	U+6227	E1D7	cjk	$28E6	base-t2s-ime-glyph-patch	戗	戗	yes	glyph patch 戗->戧
摶	U+6476	E1DE	cjk	$1C19	base-t2s-ime-glyph-patch	抟	抟	yes	glyph patch 抟->摶
摳	U+6473	E1E0	cjk	$0B39	base-t2s-ime-glyph-patch	抠	抠	yes	glyph patch 抠->摳
撂	U+6482	E1E6	cjk	$0C02	base-exact	撂	撂	yes	
摞	U+645E	E1E7	cjk	$1C44	base-exact	摞	摞	yes	
摜	U+645C	E1E8	cjk	$1C30	base-t2s-ime-glyph-patch	掼	掼	yes	glyph patch 掼->摜
搿	U+643F	E1EE	cjk	$2946	base-exact	搿	搿	yes	
榱	U+69B1	E1FC	cjk	$28A1	base-exact	榱	榱	yes	
槎	U+69CE	E241	cjk	$2896	base-exact	槎	槎	yes	
榧	U+69A7	E249	cjk	$289C	base-exact	榧	榧	yes	
榍	U+698D	E24A	cjk	$28A7	base-exact	榍	榍	yes	
榿	U+69BF	E24E	cjk	$2869	base-t2s-ime-glyph-patch	桤	桤	yes	glyph patch 桤->榿
槔	U+69D4	E252	cjk	$28A0	base-exact	槔	槔	yes	
槊	U+69CA	E254	cjk	$28A3	base-exact	槊	槊	yes	
榪	U+69AA	E259	cjk	$282B	base-t2s-ime-glyph-patch	杩	杩	yes	glyph patch 杩->榪
殞	U+6B9E	E266	cjk	$28C6	base-t2s-ime-glyph-patch	殒	殒	yes	glyph patch 殒->殞
滎	U+6ECE	E26C	cjk	$1B82	base-t2s-ime-glyph-patch	荥	荥	yes	glyph patch 荥->滎
滸	U+6EF8	E271	cjk	$1E7E	base-t2s-ime-glyph-patch	浒	浒	yes	glyph patch 浒->滸
漉	U+6F09	E275	cjk	$1EC3	base-exact	漉	漉	yes	
漚	U+6F1A	E278	cjk	$0DA3	base-t2s-ime-glyph-patch	沤	沤	yes	glyph patch 沤->漚
漶	U+6F36	E2A1	cjk	$1EBF	base-exact	漶	漶	yes	
滹	U+6EF9	E2A3	cjk	$1EBD	base-exact	滹	滹	yes	
漭	U+6F2D	E2A5	cjk	$1EAB	base-exact	漭	漭	yes	
漵	U+6F35	E2A9	cjk	$1EA1	base-t2s-ime-glyph-patch	溆	溆	yes	glyph patch 溆->漵
熏	U+718F	E2C0	cjk	$1290	base-exact	熏	熏	yes	
熗	U+7197	E2C4	cjk	$29D9	base-t2s-ime-glyph-patch	炝	炝	yes	glyph patch 炝->熗
獍	U+734D	E2CB	cjk	$1DA4	base-exact	獍	獍	yes	
瘌	U+760C	E2DC	cjk	$2BC4	base-exact	瘌	瘌	yes	
瘕	U+7615	E2DD	cjk	$2BC9	base-exact	瘕	瘕	yes	
瘊	U+760A	E2DF	cjk	$2BC6	base-exact	瘊	瘊	yes	
皸	U+76B8	E2E1	cjk	$2C12	base-t2s-ime-glyph-patch	皲	皲	yes	glyph patch 皲->皸
瞅	U+7785	E2E4	cjk	$066A	base-exact	瞅	瞅	yes	
瞀	U+7780	E2E7	cjk	$2A98	base-exact	瞀	瞀	yes	
睾	U+777E	E2E9	cjk	$198A	base-exact	睾	睾	yes	
碲	U+78B2	E2EB	cjk	$2A6E	base-exact	碲	碲	yes	
碴	U+78B4	E2ED	cjk	$05E6	base-exact	碴	碴	yes	
碭	U+78AD	E2EE	cjk	$2A36	base-t2s-ime-glyph-patch	砀	砀	yes	glyph patch 砀->碭
碥	U+78A5	E2F3	cjk	$2A70	base-exact	碥	碥	yes	
禊	U+798A	E2F9	cjk	$2A18	base-exact	禊	禊	yes	
窨	U+7AA8	E34A	cjk	$2BE9	base-exact	窨	窨	yes	
窬	U+7AAC	E34C	cjk	$2BE8	base-exact	窬	窬	yes	
箜	U+7B9C	E34F	cjk	$2CF1	base-exact	箜	箜	yes	
箐	U+7B90	E352	cjk	$2CE8	base-exact	箐	箐	yes	
箍	U+7B8D	E354	cjk	$08A7	base-exact	箍	箍	yes	
箅	U+7B85	E358	cjk	$2CEF	base-exact	箅	箅	yes	
粼	U+7CBC	E360	cjk	$2D3E	base-exact	粼	粼	yes	
綣	U+7DA3	E365	cjk	$1FBF	base-t2s-ime-glyph-patch	绻	绻	yes	glyph patch 绻->綣
緄	U+7DC4	E36C	cjk	$1FBB	base-t2s-ime-glyph-patch	绲	绲	yes	glyph patch 绲->緄
緋	U+7DCB	E36E	cjk	$1FB9	base-t2s-ime-glyph-patch	绯	绯	yes	glyph patch 绯->緋
綹	U+7DB9	E371	cjk	$1FBE	base-t2s-ime-glyph-patch	绺	绺	yes	glyph patch 绺->綹
綦	U+7DA6	E375	cjk	$2D6B	base-exact	綦	綦	yes	
綮	U+7DAE	E376	cjk	$2D6C	base-exact	綮	綮	yes	
翥	U+7FE5	E37D	cjk	$2D63	base-exact	翥	翥	yes	
膃	U+8183	E3A6	cjk	$29AA	base-t2s-ime-glyph-patch	腽	腽	yes	glyph patch 腽->膃
蒗	U+8497	E3AC	cjk	$1BD7	base-exact	蒗	蒗	yes	
蒡	U+84A1	E3AE	cjk	$1BD4	base-exact	蒡	蒡	yes	
蒺	U+84BA	E3B0	cjk	$1BD2	base-exact	蒺	蒺	yes	
蒹	U+84B9	E3B6	cjk	$1BD5	base-exact	蒹	蒹	yes	
蒴	U+84B4	E3B7	cjk	$1BD6	base-exact	蒴	蒴	yes	
蓁	U+84C1	E3B8	cjk	$1BCA	base-exact	蓁	蓁	yes	
蓍	U+84CD	E3B9	cjk	$1BCB	base-exact	蓍	蓍	yes	
蓐	U+84D0	E3BD	cjk	$1BCC	base-exact	蓐	蓐	yes	
蒔	U+8494	E3C2	cjk	$1B8C	base-t2s-ime-glyph-patch	莳	莳	yes	glyph patch 莳->蒔
蒯	U+84AF	E3C7	cjk	$19B1	base-exact	蒯	蒯	yes	
蓖	U+84D6	E3C9	cjk	$056B	base-exact	蓖	蓖	yes	
蜣	U+8723	E3D6	cjk	$2C84	base-exact	蜣	蜣	yes	
蜮	U+872E	E3DA	cjk	$2C88	base-exact	蜮	蜮	yes	
蜞	U+871E	E3DB	cjk	$2C86	base-exact	蜞	蜞	yes	
蜡	U+8721	E3DC	cjk	$0B83	base-exact	蜡	蜡	yes	
蜾	U+873E	E3E2	cjk	$2C8A	base-exact	蜾	蜾	yes	
蜒	U+8712	E3E9	cjk	$12B5	base-exact	蜒	蜒	yes	
蜱	U+8731	E3EB	cjk	$2C8D	base-exact	蜱	蜱	yes	
蜚	U+871A	E3F2	cjk	$2C89	base-exact	蜚	蜚	yes	
裱	U+88F1	E3F7	cjk	$2BFB	base-exact	裱	裱	yes	
裾	U+88FE	E3FA	cjk	$2C03	base-exact	裾	裾	yes	
裼	U+88FC	E3FC	cjk	$2C01	base-exact	裼	裼	yes	
裰	U+88F0	E440	cjk	$2C04	base-exact	裰	裰	yes	
覡	U+89A1	E444	cjk	$2930	base-t2s-ime-glyph-patch	觋	觋	yes	glyph patch 觋->覡
觫	U+89EB	E448	cjk	$2DDE	base-exact	觫	觫	yes	
誒	U+8A92	E44D	cjk	$1A6A	base-t2s-ime-glyph-patch	诶	诶	yes	glyph patch 诶->誒
賕	U+8CD5	E453	cjk	$292A	base-t2s-ime-glyph-patch	赇	赇	yes	glyph patch 赇->賕
踉	U+8E09	E457	cjk	$2DB2	base-exact	踉	踉	yes	
跽	U+8DFD	E45B	cjk	$2DB3	base-exact	跽	跽	yes	
踊	U+8E0A	E45C	cjk	$1379	base-exact	踊	踊	yes	
踅	U+8E05	E460	cjk	$2D9B	base-exact	踅	踅	yes	
鄣	U+9123	E468	cjk	$1ABD	base-exact	鄣	鄣	yes	
鄢	U+9122	E46B	cjk	$1ABB	base-exact	鄢	鄢	yes	
酲	U+9172	E473	cjk	$2D86	base-exact	酲	酲	yes	
酹	U+9179	E474	cjk	$2D88	base-exact	酹	酹	yes	
銥	U+92A5	E476	cjk	$1305	base-t2s-ime-glyph-patch	铱	铱	yes	glyph patch 铱->銥
鉺	U+927A	E47A	cjk	$2AE1	base-t2s-ime-glyph-patch	铒	铒	yes	glyph patch 铒->鉺
銠	U+92A0	E47B	cjk	$2AE0	base-t2s-ime-glyph-patch	铑	铑	yes	glyph patch 铑->銠
銪	U+92AA	E47D	cjk	$2AE2	base-t2s-ime-glyph-patch	铕	铕	yes	glyph patch 铕->銪
銦	U+92A6	E4A1	cjk	$2AE9	base-t2s-ime-glyph-patch	铟	铟	yes	glyph patch 铟->銦
銚	U+929A	E4A2	cjk	$2AF2	base-t2s-ime-glyph-patch	铫	铫	yes	glyph patch 铫->銚
銫	U+92AB	E4A3	cjk	$2AF4	base-t2s-ime-glyph-patch	铯	铯	yes	glyph patch 铯->銫
鉿	U+927F	E4A6	cjk	$2AF0	base-t2s-ime-glyph-patch	铪	铪	yes	glyph patch 铪->鉿
銣	U+92A3	E4A7	cjk	$2AF8	base-t2s-ime-glyph-patch	铷	铷	yes	glyph patch 铷->銣
鋮	U+92EE	E4A8	cjk	$2AE3	base-t2s-ime-glyph-patch	铖	铖	yes	glyph patch 铖->鋮
銎	U+928E	E4A9	cjk	$2E06	base-exact	銎	銎	yes	
銩	U+92A9	E4B7	cjk	$2AED	base-t2s-ime-glyph-patch	铥	铥	yes	glyph patch 铥->銩
颮	U+98AE	E4CD	cjk	$29C1	base-t2s-ime-glyph-patch	飑	飑	yes	glyph patch 飑->颮
骱	U+9AB1	E4DA	cjk	$2E72	base-exact	骱	骱	yes	
儆	U+5106	E4EA	cjk	$1A05	base-exact	儆	儆	yes	
儇	U+5107	E4EB	cjk	$1A0A	base-exact	儇	儇	yes	
儋	U+510B	E4EE	cjk	$1A0B	base-exact	儋	儋	yes	
劌	U+528C	E4F3	cjk	$19AB	base-t2s-ime-glyph-patch	刿	刿	yes	glyph patch 刿->劌
勱	U+52F1	E4F4	cjk	$1AC5	base-t2s-ime-glyph-patch	劢	劢	yes	glyph patch 劢->勱
噌	U+564C	E4F8	cjk	$1CFB	base-exact	噌	噌	yes	
嘵	U+5635	E4F9	cjk	$1C94	base-t2s-ime-glyph-patch	哓	哓	yes	glyph patch 哓->嘵
噘	U+5658	E4FE	cjk	$1CF3	base-exact	噘	噘	yes	
嘬	U+562C	E544	cjk	$1CF6	base-exact	嘬	嘬	yes	
嘸	U+5638	E546	cjk	$1C78	base-t2s-ime-glyph-patch	呒	呒	yes	glyph patch 呒->嘸
嶙	U+5D99	E562	cjk	$1D6D	base-exact	嶙	嶙	yes	
嶗	U+5D97	E563	cjk	$1D41	base-t2s-ime-glyph-patch	崂	崂	yes	glyph patch 崂->嶗
嶠	U+5DA0	E569	cjk	$1D3D	base-t2s-ime-glyph-patch	峤	峤	yes	glyph patch 峤->嶠
廛	U+5EDB	E573	cjk	$1DD0	base-exact	廛	廛	yes	
廡	U+5EE1	E575	cjk	$1DC4	base-t2s-ime-glyph-patch	庑	庑	yes	glyph patch 庑->廡
憋	U+618B	E578	cjk	$058D	base-exact	憋	憋	yes	
憒	U+6192	E5A6	cjk	$1E0A	base-t2s-ime-glyph-patch	愦	愦	yes	glyph patch 愦->憒
撖	U+6496	E5AF	cjk	$1C47	base-exact	撖	撖	yes	
撅	U+6485	E5B1	cjk	$0AE9	base-exact	撅	撅	yes	
撣	U+64A3	E5B8	cjk	$06DB	base-t2s-ime-glyph-patch	掸	掸	yes	glyph patch 掸->撣
撟	U+649F	E5B9	cjk	$1C1F	base-t2s-ime-glyph-patch	挢	挢	yes	glyph patch 挢->撟
樗	U+6A17	E5CC	cjk	$28AB	base-exact	樗	樗	yes	
槿	U+69FF	E5D3	cjk	$28A8	base-exact	槿	槿	yes	
槲	U+69F2	E5DA	cjk	$28AE	base-exact	槲	槲	yes	
槧	U+69E7	E5DE	cjk	$287F	base-t2s-ime-glyph-patch	椠	椠	yes	glyph patch 椠->槧
樘	U+6A18	E5E8	cjk	$28AC	base-exact	樘	樘	yes	
毿	U+6BFF	E5F7	cjk	$2961	base-t2s-ime-glyph-patch	毵	毵	yes	glyph patch 毵->毿
潁	U+6F41	E5F9	cjk	$2C33	base-t2s-ime-glyph-patch	颍	颍	yes	glyph patch 颍->潁
澇	U+6F87	E5FC	cjk	$0BA8	base-t2s-ime-glyph-patch	涝	涝	yes	glyph patch 涝->澇
澍	U+6F8D	E640	cjk	$1EC6	base-exact	澍	澍	yes	
澉	U+6F89	E641	cjk	$1EC5	base-exact	澉	澉	yes	
澌	U+6F8C	E642	cjk	$1EC7	base-exact	澌	澌	yes	
潢	U+6F62	E643	cjk	$1EB8	base-exact	潢	潢	yes	
潲	U+6F72	E64C	cjk	$1EC9	base-exact	潲	潲	yes	
潿	U+6F7F	E65C	cjk	$1E84	base-t2s-ime-glyph-patch	涠	涠	yes	glyph patch 涠->潿
潷	U+6F77	E65F	cjk	$1EB2	base-t2s-ime-glyph-patch	滗	滗	yes	glyph patch 滗->潷
熠	U+71A0	E666	cjk	$29F2	base-exact	熠	熠	yes	
熵	U+71B5	E669	cjk	$29F0	base-exact	熵	熵	yes	
熳	U+71B3	E672	cjk	$29EF	base-exact	熳	熳	yes	
獒	U+7352	E676	cjk	$28C1	base-exact	獒	獒	yes	
獠	U+7360	E679	cjk	$1DA6	base-exact	獠	獠	yes	
璇	U+7487	E6A2	cjk	$281A	base-exact	璇	璇	yes	
璉	U+7489	E6A3	cjk	$1FFC	base-t2s-ime-glyph-patch	琏	琏	yes	glyph patch 琏->璉
璁	U+7481	E6A6	cjk	$2819	base-exact	璁	璁	yes	
瘥	U+7625	E6AF	cjk	$2BC7	base-exact	瘥	瘥	yes	
瘞	U+761E	E6B0	cjk	$2BC5	base-t2s-ime-glyph-patch	瘗	瘗	yes	glyph patch 瘗->瘞
瘙	U+7619	E6B1	cjk	$2BCA	base-exact	瘙	瘙	yes	
瘛	U+761B	E6B7	cjk	$2BCB	base-exact	瘛	瘛	yes	
瞍	U+778D	E6BC	cjk	$2A96	base-exact	瞍	瞍	yes	
磔	U+78D4	E6C6	cjk	$2A71	base-exact	磔	磔	yes	
磉	U+78C9	E6CA	cjk	$2A73	base-exact	磉	磉	yes	
禚	U+799A	E6CB	cjk	$2A19	base-exact	禚	禚	yes	
稹	U+7A39	E6D2	cjk	$2B6D	base-exact	稹	稹	yes	
窳	U+7AB3	E6D5	cjk	$2BEB	base-exact	窳	窳	yes	
篋	U+7BCB	E6D7	cjk	$2CEA	base-t2s-ime-glyph-patch	箧	箧	yes	glyph patch 箧->篋
箬	U+7BAC	E6D9	cjk	$2CEC	base-exact	箬	箬	yes	
糅	U+7CC5	E6DF	cjk	$2D46	base-exact	糅	糅	yes	
糈	U+7CC8	E6E0	cjk	$2D45	base-exact	糈	糈	yes	
糌	U+7CCC	E6E1	cjk	$2D43	base-exact	糌	糌	yes	
緗	U+7DD7	E6E7	cjk	$1FC3	base-t2s-ime-glyph-patch	缃	缃	yes	glyph patch 缃->緗
緡	U+7DE1	E6E8	cjk	$1FCB	base-t2s-ime-glyph-patch	缗	缗	yes	glyph patch 缗->緡
緦	U+7DE6	E6EB	cjk	$1FC7	base-t2s-ime-glyph-patch	缌	缌	yes	glyph patch 缌->緦
緶	U+7DF6	E6EC	cjk	$1FC8	base-t2s-ime-glyph-patch	缏	缏	yes	glyph patch 缏->緶
緱	U+7DF1	E6ED	cjk	$1FC9	base-t2s-ime-glyph-patch	缑	缑	yes	glyph patch 缑->緱
羰	U+7FB0	E6F3	cjk	$2D34	base-exact	羰	羰	yes	
翦	U+7FE6	E6F9	cjk	$2D65	base-exact	翦	翦	yes	
膣	U+81A3	E6FD	cjk	$29B3	base-exact	膣	膣	yes	
艏	U+824F	E746	cjk	$2D26	base-exact	艏	艏	yes	
蔻	U+853B	E74D	cjk	$1BE2	base-exact	蔻	蔻	yes	
蔟	U+851F	E754	cjk	$1BDF	base-exact	蔟	蔟	yes	
蔫	U+852B	E759	cjk	$0D70	base-exact	蔫	蔫	yes	
蔌	U+850C	E75C	cjk	$1BDA	base-exact	蔌	蔌	yes	
蓴	U+84F4	E75D	cjk	$1B9D	base-t2s-ime-glyph-patch	莼	莼	yes	glyph patch 莼->蓴
蓼	U+84FC	E764	cjk	$1BE4	base-exact	蓼	蓼	yes	
蓽	U+84FD	E76E	cjk	$1B6E	base-t2s-ime-glyph-patch	荜	荜	yes	glyph patch 荜->蓽
蔞	U+851E	E76F	cjk	$1BC6	base-t2s-ime-glyph-patch	蒌	蒌	yes	glyph patch 蒌->蔞
蔦	U+8526	E772	cjk	$1B64	base-t2s-ime-glyph-patch	茑	茑	yes	glyph patch 茑->蔦
蓰	U+84F0	E775	cjk	$1BDD	base-exact	蓰	蓰	yes	
蓯	U+84EF	E776	cjk	$1B38	base-t2s-ime-glyph-patch	苁	苁	yes	glyph patch 苁->蓯
虢	U+8662	E77E	cjk	$2977	base-exact	虢	虢	yes	
蝣	U+8763	E7A2	cjk	$2C9C	base-exact	蝣	蝣	yes	
蝤	U+8764	E7A3	cjk	$2C9E	base-exact	蝤	蝤	yes	
蝎	U+874E	E7B2	cjk	$121A	base-exact	蝎	蝎	yes	
蝟	U+875F	E7B3	cjk	$1DA0	base-t2s-ime-glyph-patch	猬	猬	yes	glyph patch 猬->蝟
蝮	U+876E	E7B8	cjk	$2C99	base-exact	蝮	蝮	yes	
蝥	U+8765	E7BA	cjk	$2CA0	base-exact	蝥	蝥	yes	
蝻	U+877B	E7BC	cjk	$2C95	base-exact	蝻	蝻	yes	
褙	U+8919	E7C8	cjk	$2C06	base-exact	褙	褙	yes	
諏	U+8ACF	E7D4	cjk	$1A6B	base-t2s-ime-glyph-patch	诹	诹	yes	glyph patch 诹->諏
諑	U+8AD1	E7D8	cjk	$1A6C	base-t2s-ime-glyph-patch	诼	诼	yes	glyph patch 诼->諑
諗	U+8AD7	E7DC	cjk	$1A6F	base-t2s-ime-glyph-patch	谂	谂	yes	glyph patch 谂->諗
賚	U+8CDA	E7EC	cjk	$2929	base-t2s-ime-glyph-patch	赉	赉	yes	glyph patch 赉->賚
賧	U+8CE7	E7EE	cjk	$292C	base-t2s-ime-glyph-patch	赕	赕	yes	glyph patch 赕->賧
踣	U+8E23	E7F4	cjk	$2DB9	base-exact	踣	踣	yes	
踮	U+8E2E	E7F7	cjk	$2DB8	base-exact	踮	踮	yes	
踔	U+8E14	E840	cjk	$2DB4	base-exact	踔	踔	yes	
鄯	U+912F	E854	cjk	$1ABF	base-exact	鄯	鄯	yes	
鄲	U+9132	E858	cjk	$06DA	base-t2s-ime-glyph-patch	郸	郸	yes	glyph patch 郸->鄲
醅	U+9185	E85B	cjk	$2D8A	base-exact	醅	醅	yes	
鋃	U+92C3	E863	cjk	$2B0A	base-t2s-ime-glyph-patch	锒	锒	yes	glyph patch 锒->鋃
鋏	U+92CF	E868	cjk	$2AE4	base-t2s-ime-glyph-patch	铗	铗	yes	glyph patch 铗->鋏
鋱	U+92F1	E869	cjk	$2AFB	base-t2s-ime-glyph-patch	铽	铽	yes	glyph patch 铽->鋱
鋟	U+92DF	E86A	cjk	$2B0B	base-t2s-ime-glyph-patch	锓	锓	yes	glyph patch 锓->鋟
鋝	U+92DD	E86E	cjk	$2B06	base-t2s-ime-glyph-patch	锊	锊	yes	glyph patch 锊->鋝
鋌	U+92CC	E86F	cjk	$2AEC	base-t2s-ime-glyph-patch	铤	铤	yes	glyph patch 铤->鋌
鋯	U+92EF	E870	cjk	$2B03	base-t2s-ime-glyph-patch	锆	锆	yes	glyph patch 锆->鋯
鋨	U+92E8	E872	cjk	$2B04	base-t2s-ime-glyph-patch	锇	锇	yes	glyph patch 锇->鋨
鋈	U+92C8	E874	cjk	$2E08	base-exact	鋈	鋈	yes	
鋦	U+92E6	E876	cjk	$2B0C	base-t2s-ime-glyph-patch	锔	锔	yes	glyph patch 锔->鋦
閬	U+95AC	E8A6	cjk	$1E29	base-t2s-ime-glyph-patch	阆	阆	yes	glyph patch 阆->閬
閫	U+95AB	E8A7	cjk	$1E27	base-t2s-ime-glyph-patch	阃	阃	yes	glyph patch 阃->閫
霈	U+9708	E8AE	cjk	$2DE8	base-exact	霈	霈	yes	
靚	U+975A	E8B0	cjk	$2DE2	base-t2s-ime-glyph-patch	靓	靓	yes	glyph patch 靓->靚
頦	U+9826	E8B8	cjk	$2C34	base-t2s-ime-glyph-patch	颏	颏	yes	glyph patch 颏->頦
餈	U+9908	E8BF	cjk	$2D44	base-t2s-ime-glyph-patch	糍	糍	yes	glyph patch 糍->餈
餑	U+9911	E8C1	cjk	$1DB8	base-t2s-ime-glyph-patch	饽	饽	yes	glyph patch 饽->餑
駔	U+99D4	E8CA	cjk	$1F88	base-t2s-ime-glyph-patch	驵	驵	yes	glyph patch 驵->駔
駘	U+99D8	E8CE	cjk	$1F8E	base-t2s-ime-glyph-patch	骀	骀	yes	glyph patch 骀->駘
髫	U+9AEB	E8D4	cjk	$2E90	base-exact	髫	髫	yes	
魃	U+9B43	E8D9	cjk	$2E81	base-exact	魃	魃	yes	
魴	U+9B74	E8DB	cjk	$2E10	base-t2s-ime-glyph-patch	鲂	鲂	yes	glyph patch 鲂->魴
鴇	U+9D07	E8E9	cjk	$2B7D	base-t2s-ime-glyph-patch	鸨	鸨	yes	glyph patch 鸨->鴇
鼐	U+9F10	E8F3	cjk	$198E	base-exact	鼐	鼐	yes	
噠	U+5660	E8FD	cjk	$1C91	base-t2s-ime-glyph-patch	哒	哒	yes	glyph patch 哒->噠
噦	U+5666	E941	cjk	$1C98	base-t2s-ime-glyph-patch	哕	哕	yes	glyph patch 哕->噦
噲	U+5672	E944	cjk	$1C9C	base-t2s-ime-glyph-patch	哙	哙	yes	glyph patch 哙->噲
圜	U+571C	E947	cjk	$1D18	base-exact	圜	圜	yes	
墼	U+58BC	E94F	cjk	$1ADC	base-exact	墼	墼	yes	
嬗	U+5B17	E951	cjk	$1F7B	base-exact	嬗	嬗	yes	
嬙	U+5B19	E952	cjk	$1F75	base-t2s-ime-glyph-patch	嫱	嫱	yes	glyph patch 嫱->嬙
嬡	U+5B21	E954	cjk	$1F70	base-t2s-ime-glyph-patch	嫒	嫒	yes	glyph patch 嫒->嬡
嬖	U+5B16	E958	cjk	$1F7C	base-exact	嬖	嬖	yes	
嶧	U+5DA7	E961	cjk	$1D3B	base-t2s-ime-glyph-patch	峄	峄	yes	glyph patch 峄->嶧
廩	U+5EE9	E96F	cjk	$1DD2	base-t2s-ime-glyph-patch	廪	廪	yes	glyph patch 廪->廩
廨	U+5EE8	E972	cjk	$1DD1	base-exact	廨	廨	yes	
徼	U+5FBC	E975	cjk	$1D7E	base-exact	徼	徼	yes	
憝	U+619D	E976	cjk	$2A2B	base-exact	憝	憝	yes	
憨	U+61A8	E977	cjk	$08EF	base-exact	憨	憨	yes	
懌	U+61CC	E97D	cjk	$1DEC	base-t2s-ime-glyph-patch	怿	怿	yes	glyph patch 怿->懌
擗	U+64D7	E9A4	cjk	$1C64	base-exact	擗	擗	yes	
擐	U+64D0	E9A6	cjk	$1C63	base-exact	擐	擐	yes	
暾	U+66BE	E9B4	cjk	$291A	base-exact	暾	暾	yes	
樾	U+6A3E	E9C4	cjk	$28B0	base-exact	樾	樾	yes	
橛	U+6A5B	E9C8	cjk	$28B3	base-exact	橛	橛	yes	
樨	U+6A28	E9CA	cjk	$28B8	base-exact	樨	樨	yes	
橐	U+6A50	E9D1	cjk	$28B2	base-exact	橐	橐	yes	
殪	U+6BAA	E9E2	cjk	$28CC	base-exact	殪	殪	yes	
殫	U+6BAB	E9E3	cjk	$28C9	base-t2s-ime-glyph-patch	殚	殚	yes	glyph patch 殚->殫
氆	U+6C06	E9E8	cjk	$2965	base-exact	氆	氆	yes	
潞	U+6F5E	E9F0	cjk	$0C68	base-exact	潞	潞	yes	
澮	U+6FAE	E9F8	cjk	$1E79	base-t2s-ime-glyph-patch	浍	浍	yes	glyph patch 浍->澮
濉	U+6FC9	EA41	cjk	$1ECD	base-exact	濉	濉	yes	
燁	U+71C1	EA4D	cjk	$29DF	base-t2s-ime-glyph-patch	烨	烨	yes	glyph patch 烨->燁
燔	U+71D4	EA4F	cjk	$29F4	base-exact	燔	燔	yes	
獬	U+736C	EA5E	cjk	$1DA7	base-exact	獬	獬	yes	
獫	U+736B	EA60	cjk	$1D93	base-t2s-ime-glyph-patch	猃	猃	yes	glyph patch 猃->獫
獪	U+736A	EA61	cjk	$1D8C	base-t2s-ime-glyph-patch	狯	狯	yes	glyph patch 狯->獪
瘭	U+762D	EA6C	cjk	$2BD0	base-exact	瘭	瘭	yes	
瘳	U+7633	EA6F	cjk	$2BD6	base-exact	瘳	瘳	yes	
瘼	U+763C	EA70	cjk	$2BCC	base-exact	瘼	瘼	yes	
瘵	U+7635	EA71	cjk	$2BD3	base-exact	瘵	瘵	yes	
瘰	U+7630	EA73	cjk	$2BD1	base-exact	瘰	瘰	yes	
瞢	U+77A2	EA7B	cjk	$1BEB	base-exact	瞢	瞢	yes	
磣	U+78E3	EAA7	cjk	$2A6B	base-t2s-ime-glyph-patch	碜	碜	yes	glyph patch 碜->磣
窶	U+7AB6	EAB2	cjk	$2BEA	base-t2s-ime-glyph-patch	窭	窭	yes	glyph patch 窭->窶
窸	U+7AB8	EAB3	cjk	$2EBB	base-exact	窸	窸	no	
篝	U+7BDD	EABA	cjk	$2CF8	base-exact	篝	篝	yes	
篥	U+7BE5	EABC	cjk	$2CFA	base-exact	篥	篥	yes	
