char	unicode	big5	category	dfs_code	compat_class	t2s	base_char_at_code	ime_reserved	note
牯	U+726F	ACBA	cjk	$293A	base-exact	牯	牯	yes	
狩	U+72E9	ACBC	cjk	$1D8D	base-exact	狩	狩	yes	
狠	U+72E0	ACBD	cjk	$092B	base-exact	狠	狠	yes	
狡	U+72E1	ACBE	cjk	$0A62	base-exact	狡	狡	yes	
玷	U+73B7	ACBF	cjk	$1FEE	base-exact	玷	玷	yes	
珊	U+73CA	ACC0	cjk	$0F3E	base-exact	珊	珊	yes	
玻	U+73BB	ACC1	cjk	$059F	base-exact	玻	玻	yes	
玲	U+73B2	ACC2	cjk	$0C1A	base-exact	玲	玲	yes	
珍	U+73CD	ACC3	cjk	$187C	base-exact	珍	珍	yes	
珀	U+73C0	ACC4	cjk	$1FF0	base-exact	珀	珀	yes	
玳	U+73B3	ACC5	cjk	$1FEF	base-exact	玳	玳	yes	
甚	U+751A	ACC6	cjk	$0F8F	base-exact	甚	甚	yes	
甭	U+752D	ACC7	cjk	$0560	base-exact	甭	甭	yes	
畏	U+754F	ACC8	cjk	$1163	base-exact	畏	畏	yes	
界	U+754C	ACC9	cjk	$0A83	base-exact	界	界	yes	
畎	U+754E	ACCA	cjk	$2AA2	base-exact	畎	畎	yes	
畋	U+754B	ACCB	cjk	$2AA3	base-exact	畋	畋	yes	
疫	U+75AB	ACCC	cjk	$1329	base-exact	疫	疫	yes	
疤	U+75A4	ACCD	cjk	$04EE	base-exact	疤	疤	yes	
疥	U+75A5	ACCE	cjk	$0A86	base-exact	疥	疥	yes	
疣	U+75A3	ACD0	cjk	$2BAC	base-exact	疣	疣	yes	
癸	U+7678	ACD1	cjk	$08D7	base-exact	癸	癸	yes	
皆	U+7686	ACD2	cjk	$0A70	base-exact	皆	皆	yes	
皇	U+7687	ACD3	cjk	$098C	base-exact	皇	皇	yes	
皈	U+7688	ACD4	cjk	$2B73	base-exact	皈	皈	yes	
盈	U+76C8	ACD5	cjk	$136D	base-exact	盈	盈	yes	
盆	U+76C6	ACD6	cjk	$0DCE	base-exact	盆	盆	yes	
盅	U+76C5	ACD8	cjk	$18C7	base-exact	盅	盅	yes	
省	U+7701	ACD9	cjk	$0F99	base-exact	省	省	yes	
盹	U+76F9	ACDA	cjk	$2A83	base-exact	盹	盹	yes	
相	U+76F8	ACDB	cjk	$11EA	base-exact	相	相	yes	
眉	U+7709	ACDC	cjk	$0CC8	base-exact	眉	眉	yes	
看	U+770B	ACDD	cjk	$0B10	base-exact	看	看	yes	
盾	U+76FE	ACDE	cjk	$078C	base-exact	盾	盾	yes	
盼	U+76FC	ACDF	cjk	$0DB4	base-exact	盼	盼	yes	
眇	U+7707	ACE0	cjk	$2A84	base-exact	眇	眇	yes	
矜	U+77DC	ACE1	cjk	$2C17	base-exact	矜	矜	yes	
砂	U+7802	ACE2	cjk	$0F34	base-exact	砂	砂	yes	
研	U+7814	ACE3	cjk	$12B4	base-exact	研	研	yes	
砌	U+780C	ACE4	cjk	$0E43	base-exact	砌	砌	yes	
砍	U+780D	ACE5	cjk	$0B0F	base-exact	砍	砍	yes	
祆	U+7946	ACE6	cjk	$2A08	base-exact	祆	祆	yes	
祉	U+7949	ACE7	cjk	$2A09	base-exact	祉	祉	yes	
祈	U+7948	ACE8	cjk	$0E39	base-exact	祈	祈	yes	
禹	U+79B9	ACEA	cjk	$13AB	base-exact	禹	禹	yes	
禺	U+79BA	ACEB	cjk	$197E	base-exact	禺	禺	yes	
科	U+79D1	ACEC	cjk	$0B26	base-exact	科	科	yes	
秒	U+79D2	ACED	cjk	$0CF7	base-exact	秒	秒	yes	
秋	U+79CB	ACEE	cjk	$0EAF	base-exact	秋	秋	yes	
穿	U+7A7F	ACEF	cjk	$067F	base-exact	穿	穿	yes	
突	U+7A81	ACF0	cjk	$10EB	base-exact	突	突	yes	
竿	U+7AFF	ACF1	cjk	$0842	base-exact	竿	竿	yes	
竽	U+7AFD	ACF2	cjk	$2CC8	base-exact	竽	竽	yes	
籽	U+7C7D	ACF3	cjk	$192D	base-exact	籽	籽	yes	
紂	U+7D02	ACF4	cjk	$1FA3	base-t2s-ime-glyph-patch	纣	纣	yes	glyph patch 纣->紂
紅	U+7D05	ACF5	cjk	$093A	base-t2s-ime-glyph-patch	红	红	yes	glyph patch 红->紅
紀	U+7D00	ACF6	cjk	$09ED	base-t2s-ime-glyph-patch	纪	纪	yes	glyph patch 纪->紀
紉	U+7D09	ACF7	cjk	$0EF0	base-t2s-ime-glyph-patch	纫	纫	yes	glyph patch 纫->紉
紇	U+7D07	ACF8	cjk	$1FA4	base-t2s-ime-glyph-patch	纥	纥	yes	glyph patch 纥->紇
約	U+7D04	ACF9	cjk	$13D8	base-t2s-ime-glyph-patch	约	约	yes	glyph patch 约->約
紆	U+7D06	ACFA	cjk	$1FA2	base-t2s-ime-glyph-patch	纡	纡	yes	glyph patch 纡->紆
