ext_index	char	unicode	big5	category	t2s	dfs_code	page	low	slot_source	compat_class	note
109	採	U+63A1	B1C4	cjk	采	$1488	$14	$88	extension-page	cjk-extension	new/expanded DFS page
110	捨	U+6368	B1CB	cjk	舍	$1489	$14	$89	extension-page	cjk-extension	new/expanded DFS page
111	敔	U+6554	B1D6	cjk	敔	$148A	$14	$8A	extension-page	cjk-extension	new/expanded DFS page
112	晞	U+665E	B1E3	cjk	晞	$148B	$14	$8B	extension-page	cjk-extension	new/expanded DFS page
113	勗	U+52D7	B1E5	cjk	勗	$148C	$14	$8C	extension-page	cjk-extension	new/expanded DFS page
114	桿	U+687F	B1EC	cjk	杆	$148D	$14	$8D	extension-page	cjk-extension	new/expanded DFS page
115	梱	U+68B1	B1EE	cjk	梱	$148E	$14	$8E	extension-page	cjk-extension	new/expanded DFS page
116	梡	U+68A1	B1FB	cjk	梡	$148F	$14	$8F	extension-page	cjk-extension	new/expanded DFS page
117	梂	U+6882	B1FC	cjk	梂	$1490	$14	$90	extension-page	cjk-extension	new/expanded DFS page
118	毬	U+6BEC	B241	cjk	毬	$1491	$14	$91	extension-page	cjk-extension	new/expanded DFS page
119	淒	U+6DD2	B259	cjk	凄	$1492	$14	$92	extension-page	cjk-extension	new/expanded DFS page
120	琍	U+740D	B27C	cjk	琍	$1493	$14	$93	extension-page	cjk-extension	new/expanded DFS page
121	異	U+7570	B2A7	cjk	异	$1494	$14	$94	extension-page	cjk-extension	new/expanded DFS page
122	硃	U+7843	B2B9	cjk	朱	$1495	$14	$95	extension-page	cjk-extension	new/expanded DFS page
123	絃	U+7D43	B2CD	cjk	弦	$1496	$14	$96	extension-page	cjk-extension	new/expanded DFS page
124	紮	U+7D2E	B2CF	cjk	扎	$1497	$14	$97	extension-page	cjk-extension	new/expanded DFS page
125	脣	U+8123	B2E5	cjk	唇	$1498	$14	$98	extension-page	cjk-extension	new/expanded DFS page
126	脩	U+8129	B2E7	cjk	修	$1499	$14	$99	extension-page	cjk-extension	new/expanded DFS page
127	脰	U+8130	B2E8	cjk	脰	$149A	$14	$9A	extension-page	cjk-extension	new/expanded DFS page
128	脤	U+8124	B2E9	cjk	脤	$149B	$14	$9B	extension-page	cjk-extension	new/expanded DFS page
129	莊	U+838A	B2F8	cjk	庄	$149C	$14	$9C	extension-page	cjk-extension	new/expanded DFS page
130	術	U+8853	B34E	cjk	术	$149D	$14	$9D	extension-page	cjk-extension	new/expanded DFS page
